ref_id,title,author,journal,volume,year,study_name,kaiser_ref_id,companions,target_social_need,study_type,study_design,recruitment_setting,intervention_setting,geo_setting_description,target_population,age_group,race_ethnicity_majority,proportion_male,proportion_immigrant,risk_of_bias,comparator,sample_size,intervention_target,individual_systems_intervention,specific_intervention_components,service_provider,addresses_health_outcomes,health_outcomes,result_QALY,result_mortality,result_mental_health_status,result_functional,result_morbidity,result_quality_of_life,result_self_health,result_low_birth_weight,result_child_development,result_other_health,addresses_behavioral_outcomes,behavioral_outcomes,result_substance_use,result_diet,result_physical_activity,result_other_behavior,addresses_healthcareuse_outcomes,healthcareuse_outcomes,result_hospital_readmission,direction_hospital_readmission,result_frequency_healthcare_use,direction_frequency_healthcare_use,result_adherence,direction_adherence,result_preventive,direction_preventive,result_outpatient_visits,direction_outpatient_visits,result_emergency_visits,direction_emergency_visits,result_clinic_attendance,direction_clinic_attendance,result_emergency_transport,direction_emergency_transport,result_post_primarycare_visits,direction_post_primarycare_visits,result_prenatal,direction_prenatal,result_inpatient_admission,direction_inpatient_admission,result_hospital_days,direction_hospital_days,result_sober_center,direction_sober_center,result_medical_home,direction_medical_home,result_missed_appointments,direction_missed_appointments,result_immunizations,direction_immunizations,result_other_healthcareuse,direction_other_healthcareuse,harms,harms_text,subgroups,subgroups_comment,subgroup_results_different
*,*,*,*,*,*,*,*,*,"Access to healthcare and primary care (include improved coverage, services, and timeliness)",Any social need that arises in population addressed,Case-control,Emergency department,Emergency department,*,High utilization,Adolescents/ Young Adults,Asian/Pacific Islander,#,#,High,Active control,#,Caregiver,Individual intervention,"Active assistance with resources (vouchers, appt scheduling, enrollment form help)",Case manager,Yes,"Changes in functional outcomes (e.g., blood pressure)",Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,Changes in dietary intake,Positive,Positive,Positive,Positive,Yes,Adherence to treatment (medications/follow-up visit),Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Yes,*,Yes,*,Yes
,,,,,,,,,Childcare access,Medical and social need program,Cohort study,Home-based care,Home-based care,,Homeless,Adult,Hispanic,NR,NR,Medium,Other,,Community Based Organizations,Systems intervention,Health provider education,Community health workers/ Navigators,No,Changes in self-reported health,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,No,Changes in physical activity,Negative,Negative,Negative,Negative,No,Clinic attendance rate,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,No,,No,,No
,,,,,,,,,Early childhood education and development,More than one clearly defined social topic addressed,Comparative effectiveness within arm pre-post outcome trend,Hospital (inpatient),Hospital (inpatient),,Low-income/SES,Older Adults,No single group is a majority,,,Low,Other inactive control,,Doctor or other clinical staff,,Passive referrals,"Healthcare providers (doctors, nurses, therapists, etc.)",,Child development outcomes,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,,Changes in substance use,Mixed results,Mixed results,Mixed results,Mixed results,,Emergency department visits/urgent care,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Not Reported,,,,
,,,,,,,,,Education,One social topic addressed,Other observational,Not Reported,Not Reported,,Low-SES neighborhood,Pediatric,Non-Hispanic Black,,,,Pre-intervention data,,Patient,,"Patient education (including on health, other social need, or resources)",Lawyers,,Low birth weight,No effect,No effect,No effect,No effect,No effect,No effect,No effect,No effect,No effect,No effect,,Other,No effect,No effect,No effect,No effect,,Frequency of healthcare use,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,,,,,
,,,,,,,,,Employment,,Pre-post,Other,Other,,Medical eligibility,,Non-Hispanic White,,,,Usual Care,,,,Providing onsite resources,Not Reported,,Mental health status,,,,,,,,,,,,,,,,,,Hospital days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Financial Strain,,RCT,Outpatient clinic,Outpatient clinic,,Medicare/Medicaid,,NR,,,,Usual Care or Active comparator that also addresses social needs,,,,Screening,"Other non-professionals, including volunteers and study staff",,Mortality,,,,,,,,,,,,,,,,,,Hospital readmissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Food insecurity,,,"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics,)","Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics)",,Pregnancy,,Other,,,,Waitlist control,,,,,Social worker,,Other,,,,,,,,,,,,,,,,,,Immunizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Housing instability/quality,,,Recruited from health plan membership,Recruited from health plan membership,,Veteran status,,,,,,,,,,,,,Quality of life,,,,,,,,,,,,,,,,,,Inpatient admissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Interpersonal violence,,,Telephone-based care,Telephone-based care,,,,,,,,,,,,,,,Quality-adjusted life-years,,,,,,,,,,,,,,,,,,Medical home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Legal services,,,Transitional housing,Transitional housing,,,,,,,,,,,,,,,Reduction in morbidity,,,,,,,,,,,,,,,,,,Missed appointments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Multiple domains targeted,,,Urgent care,Urgent care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Not specified,,,Web-based care,Web-based care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Social isolation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post hospital primary care visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Transportation help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prenatal care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Utilities help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preventive care utilization (well child visits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sobering center use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Use of emergency transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,