target_social_need,study_type,study_design,recruitment_setting,intervention_setting,target_population,age_group,race_ethnicity_majority,quality_rating,comparator,intervention_target,individual_systems_intervention,specific_intervention_components,service_provider,addresses_health_outcomes,health_outcomes,result_QALY,result_mortality,result_mental_health_status,result_functional,result_morbidity,result_quality_of_life,result_self_health,result_low_birth_weight,result_child_development,result_other_health,addresses_behavioral_outcomes,behavioral_outcomes,result_substance_use,result_diet,result_physical_activity,result_other_behavior,addresses_healthcareuse_outcomes,healthcareuse_outcomes,result_hospital_readmission,direction_hospital_readmission,result_frequency_healthcare_use,direction_frequency_healthcare_use,result_adherence,direction_adherence,result_preventive,direction_preventive,result_outpatient_visits,direction_outpatient_visits,result_emergency_visits,direction_emergency_visits,result_clinic_attendance,direction_clinic_attendance,result_emergency_transport,direction_emergency_transport,result_post_primarycare_visits,direction_post_primarycare_visits,result_prenatal,direction_prenatal,result_inpatient_admission,direction_inpatient_admission,result_hospital_days,direction_hospital_days,result_sober_center,direction_sober_center,result_medical_home,direction_medical_home,result_missed_appt,direction_missed_appointments,result_immunizations,direction_immunizations,result_other_healthcareuse,direction_other_healthcareuse
Childcare,Any social need that arises in population addressed,Case-control,Emergency department,Emergency department,Frequent users of healthcare services,Children   (&lt;18 years ) or children and their families,Majority Asian/Pacific Islander,High,Active control,Caregiver,Individual Intervention,"Active assistance with resources (vouchers, appt scheduling, enrollment form help)",Case manager,Yes,"Changes in functional outcomes (e.g., blood pressure)",Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,Changes in substance use,Positive,Positive,Positive,Positive,Yes,Adherence to treatment (medications/follow-up visit),Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase
Early childhood education and development,Medical and social need program,Cohort study,Home-based care,Home-based care,Homeless persons,"Adolescents/young adults (e.g., 13-20 years)",Majority Black/Non-Hispanic Black,Medium,Pre-intervention data,Community-based Organizations,Systems Intervention,Healthcare provider education,Community health workers/ Navigators,No,Changes in self-reported health,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,No,Changes in dietary intake,Negative,Negative,Negative,Negative,No,Clinic attendance rate,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease
Education,More than one clearly defined social need addressed,Comparative effectiveness within arm pre-post outcome trend,Hospital (inpatient),Hospital (inpatient),Medicare/Medicaid enrollees (or eligible),Adults (&ge;18 years),Majority Hispanic/Latino,Low,Usual Care,Doctor or other clinical staff,,Passive referrals,"Healthcare providers (doctors, nurses, therapists, etc.)",,Child development outcomes,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,,Changes in physical activity,Mixed results,Mixed results,Mixed results,Mixed results,,Emergency department visits/urgent care,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,
Employment,One social need addressed,Pre-post,Outpatient clinic,Outpatient clinic,Persons living in low-income neighborhood,"Older adults (e.g., &ge;50 years)",Majority Native American/American Indian/Indigenous,,Waitlist control,Patient,,"Patient education (including on health, other social need, or resources)",Lawyers,,Low birth weight,No significant difference ,No significant difference ,No significant difference ,No significant difference ,No significant difference ,No significant difference ,No significant difference ,No significant difference ,No significant difference ,No significant difference ,,Other,No significant difference ,No significant difference ,No significant difference ,No significant difference ,,Frequency of healthcare use,No significant difference ,,No significant difference ,,No significant difference ,,No significant difference ,,No significant difference ,,No significant difference ,,No significant difference ,,No significant difference ,,No significant difference ,,No significant difference ,,No significant difference ,,No significant difference ,,No significant difference ,,No significant difference ,,No significant difference ,,No significant difference ,,No significant difference ,
Financial strain,,RCT,"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics,)","Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics)",Persons meeting specific medical criteria,,Majority White/Non-Hispanic White,,Other inactive control,,,Providing onsite resources,Social worker,,Mental health status,,,,,,,,,,,,,,,,,,Hospital days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food insecurity,,Other observational,Recruited from health plan membership,Recruited from health plan membership,Persons with low income,,No single group is a majority,,Other,,,Screening,"Other non-professionals, including volunteers and study staff",,Mortality,,,,,,,,,,,,,,,,,,Hospital readmissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthcare services,,,Telephone-based care,Telephone-based care,Pregnant persons,,Not Reported,,,,,,Not Reported,,Quality of life,,,,,,,,,,,,,,,,,,Immunizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing instability/quality,,,Transitional housing,Transitional housing,Veterans,,Other,,,,,,,,Quality-adjusted life-years,,,,,,,,,,,,,,,,,,Inpatient admissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interpersonal violence,,,Urgent care,Urgent care,,,,,,,,,,,Reduction in morbidity,,,,,,,,,,,,,,,,,,Medical home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal services,,,Web-based care,Web-based care,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,Missed appointments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social isolation,,,Not Reported,Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation help,,,Other,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post hospital primary care visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilities help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prenatal care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple domains addressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preventive care utilization (well child visits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sobering center use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Use of emergency transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,